uniq_id,idx,uniq_id,product,retail_price,discounted_price,product_desc
P001,1,P001,Single slot penstand,450,350,We are offering this product in less price as compared to other.The quality of product is best.It design is attractive
P002,2,P002,Valentine combo 21.0,1100,999,Valentine combo 21.0
P003,3,P003,Leather combo 1.0,700,600,Leather combo 1.0
P004,4,P004,Couple Flask combo 1.0,1550,1500,Couple Flask combo 1.0
P005,5,P005,Customised bedsheet,950,899,Customised bedsheet
P006,6,P006,Personalized LED bottel,500,350,Personalized LED bottel
P007,7,P007,Personalized FurCushion,400,300,Personalized FurCushion
P008,8,P008,Shadow box.,500,450,Shadow box.
P009,9,P009,Kids Lunch Box,500,420,Kids Lunch Box
P010,10,P010,Personalized Name Wallet + Heart Keychain combo,450,370,Personalized Name Wallet + Heart Keychain combo
P011,11,P011,Personalised bottle,500,450,Personalised bottle
P012,12,P012,Jumbo Play House Tent,1700,1600,Jumbo Play House Tent
P013,13,P013,Quote Temperature Bottle,500,430,Quote Temperature Bottle
P014,14,P014,Highlighted embroidered name clutch with rose knob,1100,1050,Highlighted embroidered name clutch with rose knob
P015,15,P015,Gift Combo for Her,1300,1200,Gift Combo for Her
P016,16,P016,Customised Kids Bottle,450,370,Customised Kids Bottle
P017,17,P017,Customized Mens wallet,500,450,Customized Mens wallet
P018,18,P018,Customised bedsheet King Size,1100,999,Customised bedsheet King Size
