uniq_id,idx,uniq_id,product,retail_price,discounted_price
P001,1,P001,Alisha Solid Women's Cycling Shorts,450,300
P002,2,P002,FabHomeDecor Fabric Double Sofa Bed,32157,22646
P003,3,P003,AW Bellies,999,499
P004,4,P004,Alisha Solid Women's Cycling Shorts,699,267
P005,5,P005,Sicons All Purpose Arnica Dog Shampoo,220,210
P006,6,P006,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,430,430
P007,7,P007,Alisha Solid Women's Cycling Shorts,1199,479
P008,8,P008,FabHomeDecor Fabric Double Sofa Bed,32157,22646
P009,9,P009,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699,349
P010,10,P010,Alisha Solid Women's Cycling Shorts,1199,479
P011,11,P011,Ladela Bellies,1724,950
P012,12,P012,Carrel Printed Women's,2299,910
P013,13,P013,Sicons All Purpose Tea Tree Dog Shampoo,100,50
P014,14,P014,Alisha Solid Women's Cycling Shorts,999,379
P015,15,P015,Freelance Vacuum Bottles 350 ml Bottle,699,699
P016,16,P016,Alisha Solid Women's Cycling Shorts,999,379
P017,17,P017,FabHomeDecor Fabric Double Sofa Bed,32157,22646
P018,18,P018,Style Foot Bellies,899,449
